ticker,name
IAF,Ishares Core Composite Bond ETF
IAG,Insurance Australia Group Ltd
IDX,Integral Diagnostics Ltd
IEL,Idp Education Ltd
IEM,Ishares MSCI Emerging Markets ETF
IFL,IOOF Holdings Ltd
IFT,Infratil Ltd
IGO,IGO Ltd  
ILU,Iluka Resources Ltd
INA,Ingenia Communities Group
ING,Inghams Group Ltd
IOO,Ishares Global 100 ETF
IOZ,Ishares Core S&P/ASX 200 ETF
IPH,IPH Ltd
IPL,Incitec Pivot Ltd
IRE,Iress Ltd
ISX,Isignthis LtdSuspended
IVC,Invocare Ltd
IVV,Ishares S&P 500 ETF
JBH,JB Hi-Fi Ltd  
JHG,Janus Henderson Group Plc
JHX,James Hardie Industries Plc
KGN,Kogan.com Ltd  
LEP,Ale Property Group
LFG,Liberty Financial Group
LFS,Latitude Group Holdings Ltd
LIC,Lifestyle Communities Ltd
LLC,Lendlease Group
LNK,Link Administration Holdings Ltd  
LOV,Lovisa Holdings Ltd
LSF,L1 Long Short Fund Ltd
LYC,Lynas Rare EARTHS Ltd
MAQ,Macquarie Telecom Group Ltd
MCY,Mercury NZ Ltd
MEZ,Meridian Energy Ltd
MFF,MFF Capital Investments Ltd
MFG,Magellan Financial Group Ltd
MGF,Magellan Global Fund
MGH,Maas Group Holdings Ltd
MGOC,Magellan Global Fund (Open Class) (Managed Fund)
MGR,Mirvac Group  
MGX,Mount Gibson Iron Ltd
MIN,Mineral Resources Ltd
MLT,Milton Corporation Ltd
MND,Monadelphous Group Ltd
MP1,Megaport Ltd
MPL,Medibank Private Ltd
MQG,Macquarie Group Ltd
MSB,Mesoblast Ltd
MTS,Metcash Ltd
MVW,Vaneck Vectors Australian EQUAL Weight ETF
MXT,MCP Master Income Trust
NAB,National Australia Bank Ltd
NAN,Nanosonics Ltd
NCM,Newcrest Mining Ltd
NDQ,Betashares Nasdaq 100 ETF
NEA,Nearmap Ltd
NEC,Nine Entertainment Co. Holdings Ltd
NHC,New Hope Corporation Ltd
NHF,Nib Holdings Ltd
NIC,Nickel Mines Ltd
NSR,National Storage REIT
NST,Northern Star Resources Ltd
NUF,Nufarm Ltd
NWH,NRW Holdings Ltd
NWL,Netwealth Group Ltd
NWS,News Corporation
NXL,NUIX Ltd
NXT,NEXTDC Ltd
OBL,Omni Bridgeway Ltd
OCL,Objective Corporation Ltd
OML,Ooh!Media Ltd
ORA,Orora Ltd
ORE,Orocobre Ltd
ORG,Origin Energy Ltd
ORI,Orica Ltd
OSH,Oil Search Ltd
OZL,OZ Minerals Ltd
PBH,Pointsbet Holdings Ltd
PDL,Pendal Group Ltd
PDN,Paladin Energy Ltd
PGH,Pact Group Holdings Ltd
PLL,Piedmont Lithium Ltd
PLS,Pilbara Minerals Ltd
PME,Pro Medicus Ltd
PMGOLD,Gold
PMV,Premier Investments Ltd  
PNI,Pinnacle Investment Management Group Ltd
PNV,Polynovo Ltd
PPH,Pushpay Holdings Ltd
PPT,Perpetual Ltd
PRU,Perseus Mining Ltd
PSI,PSC Insurance Group Ltd
PTM,Platinum Asset Management Ltd
QAN,Qantas Airways Ltd
QBE,QBE Insurance Group Ltd
QUAL,Vaneck Vectors MSCI World Ex Australia Quality ETF
QUB,QUBE Holdings Ltd
RBD,Restaurant Brands New Zealand Ltd  
RBL,Redbubble Ltd
REA,REA Group Ltd
REH,Reece Ltd
RHC,Ramsay Health Care Ltd
RIO,RIO Tinto Ltd
RMC,Resimac Group Ltd
RMD,Resmed Inc
RMS,Ramelius Resources Ltd  
RRL,Regis Resources Ltd
RWC,Reliance Worldwide Corporation Ltd
S32,SOUTH32 Ltd
SBM,ST Barbara Ltd  
SCG,Scentre Group
SCP,Shopping Centres Australasia Property Group
SDF,Steadfast Group Ltd  
SEK,Seek Ltd
SFR,Sandfire Resources Ltd  
SGM,Sims Ltd
SGP,Stockland
SGR,The Star Entertainment Group Ltd
SHL,Sonic Healthcare Ltd
SIQ,Smartgroup Corporation Ltd
SKC,Skycity Entertainment Group Ltd
SKI,Spark Infrastructure Group
SLK,Sealink Travel Group Ltd
SLR,Silver Lake Resources Ltd
SNZ,Summerset Group Holdings Ltd
SOL,Washington H Soul Pattinson & Company Ltd
SPK,Spark New Zealand Ltd
STO,Santos Ltd
STW,SPDR S&P/ASX 200 Fund
SUL,Super Retail Group Ltd
SUN,Suncorp Group Ltd  
SVW,Seven Group Holdings Ltd
SYD,Sydney Airport
TAH,Tabcorp Holdings Ltd
TCL,Transurban Group
TLS,Telstra Corporation Ltd
TLT,Tilt Renewables Ltd
TLX,TELIX Pharmaceuticals Ltd
TNE,Technology One Ltd
TPG,TPG Telecom Ltd
TPW,Temple & Webster Group Ltd
TWE,Treasury Wine Estates Ltd
TYR,Tyro Payments Ltd
UMG,United Malt Group Ltd
URW,Unibail-Rodamco-Westfield
UWL,Uniti Group Ltd
VAF,Vanguard Australian Fixed Interest INDEX ETF
VAP,Vanguard Australian Property Securities INDEX ETF
VAS,Vanguard Australian Shares INDEX ETF
VCX,Vicinity Centres
VEA,Viva Energy Group Ltd
VEU,Vanguard All-World Ex-US Shares INDEX ETF
VGAD,Vanguard MSCI INDEX International Shares (Hedged) ETF
VGS,Vanguard MSCI INDEX International Shares ETF
VHY,Vanguard Australian Shares High Yield ETF
VOC,Vocus Group Ltd
VTS,Vanguard US Total Market Shares INDEX ETF
VUK,Virgin Money Uk Plc
WAM,WAM Capital Ltd
WBC,Westpac Banking Corporation
WEB,Webjet Ltd
WES,Wesfarmers Ltd
WGX,Westgold Resources Ltd
WHC,Whitehaven Coal Ltd
WLE,Wam Leaders Ltd
WOR,Worley Ltd
WOW,Woolworths Group Ltd
WPL,Woodside Petroleum Ltd
WPR,Waypoint REIT
WTC,Wisetech Global Ltd
XRO,Xero Ltd
YAL,Yancoal Australia Ltd
Z1P,ZIP Co Ltd
ZEL,Z Energy Ltd
ZIM,Zimplats Holdings Ltd
